year,month,company,city,destination,price,seats,distance
2020,1,AZU,Aracaju,SBAR,1100.9,1,202
2020,1,AZU,Aracaju,SBAR,1123.9,2,202
2020,1,AZU,Aracaju,SBAR,1516.9,1,202
2020,1,AZU,Aracaju,SBAR,1591.9,1,202
2020,1,AZU,Aracaju,SBAR,630.9,1,202
2020,1,AZU,Aracaju,SBAR,714.9,1,202
2020,1,AZU,Aracaju,SBAR,727.9,2,202
2020,1,AZU,Aracaju,SBAR,750.9,3,202
2020,1,AZU,Aracaju,SBAR,875.9,1,202
2020,1,AZU,Belem,SBBE,1011.9,5,1682
2020,1,AZU,Belem,SBBE,1038.9,2,1682
2020,1,AZU,Belem,SBBE,1086.9,1,1682
2020,1,AZU,Belem,SBBE,1105.9,5,1682
2020,1,AZU,Belem,SBBE,1169.9,3,1682
2020,1,AZU,Belem,SBBE,1180.9,1,1682
2020,1,AZU,Belem,SBBE,1402.9,3,1682
2020,1,AZU,Belem,SBBE,1477.9,1,1682
2020,1,AZU,Belem,SBBE,1644.9,1,1682
2020,1,AZU,Belem,SBBE,2099.9,1,1682
2020,1,AZU,Belem,SBBE,319.9,25,1682
2020,1,AZU,Belem,SBBE,335.9,10,1682
2020,1,AZU,Belem,SBBE,384.9,9,1682
2020,1,AZU,Belem,SBBE,400.9,3,1682
2020,1,AZU,Belem,SBBE,456.9,1,1682
2020,1,AZU,Belem,SBBE,461.9,8,1682
2020,1,AZU,Belem,SBBE,484.9,9,1682
2020,1,AZU,Belem,SBBE,549.9,2,1682
2020,1,AZU,Belem,SBBE,603.9,4,1682
2020,1,AZU,Belem,SBBE,633.9,4,1682
2020,1,AZU,Belem,SBBE,668.9,3,1682
2020,1,AZU,Belem,SBBE,698.9,1,1682
2020,1,AZU,Belem,SBBE,705.9,1,1682
2020,1,AZU,Belem,SBBE,712.9,4,1682
2020,1,AZU,Belem,SBBE,770.9,3,1682
2020,1,AZU,Belem,SBBE,777.9,3,1682
2020,1,AZU,Belem,SBBE,813.9,1,1682
2020,1,AZU,Belem,SBBE,953.9,1,1682
2020,1,AZU,Belem,SBBE,963.9,7,1682
2020,1,AZU,Boa Vista,SBBV,1307.46,1,3092
2020,1,AZU,Boa Vista,SBBV,1735.9,1,3092
2020,1,AZU,Boa Vista,SBBV,2038.9,1,3092
2020,1,AZU,Boa Vista,SBBV,2146.51,1,3092
2020,1,AZU,Boa Vista,SBBV,669.65,1,3092
2020,1,AZU,Boa Vista,SBBV,704.9,3,3092
2020,1,AZU,Boa Vista,SBBV,705.9,4,3092
2020,1,AZU,Boa Vista,SBBV,795.3,1,3092
2020,1,AZU,Boa Vista,SBBV,918.9,1,3092
2020,1,AZU,Campo Grande,SBCG,1035.9,2,2355
2020,1,AZU,Campo Grande,SBCG,1109.9,3,2355
2020,1,AZU,Campo Grande,SBCG,1164.9,1,2355
2020,1,AZU,Campo Grande,SBCG,1184.9,2,2355
2020,1,AZU,Campo Grande,SBCG,1192.03,1,2355
2020,1,AZU,Campo Grande,SBCG,1198.9,4,2355
2020,1,AZU,Campo Grande,SBCG,1257.7,1,2355
2020,1,AZU,Campo Grande,SBCG,1311.9,4,2355
2020,1,AZU,Campo Grande,SBCG,1324.9,2,2355
2020,1,AZU,Campo Grande,SBCG,1339.9,1,2355
2020,1,AZU,Campo Grande,SBCG,1347.95,2,2355
2020,1,AZU,Campo Grande,SBCG,1418.9,2,2355
2020,1,AZU,Campo Grande,SBCG,1430.9,1,2355
2020,1,AZU,Campo Grande,SBCG,1449.08,1,2355
2020,1,AZU,Campo Grande,SBCG,1485.91,2,2355
2020,1,AZU,Campo Grande,SBCG,1493.9,1,2355
2020,1,AZU,Campo Grande,SBCG,1573.9,1,2355
2020,1,AZU,Campo Grande,SBCG,436.4,1,2355
2020,1,AZU,Campo Grande,SBCG,449.9,1,2355
2020,1,AZU,Campo Grande,SBCG,457.8,2,2355
2020,1,AZU,Campo Grande,SBCG,465.4,7,2355
2020,1,AZU,Campo Grande,SBCG,467.44,3,2355
2020,1,AZU,Campo Grande,SBCG,481.9,4,2355
2020,1,AZU,Campo Grande,SBCG,506.25,4,2355
2020,1,AZU,Campo Grande,SBCG,509.9,2,2355
2020,1,AZU,Campo Grande,SBCG,514.9,2,2355
2020,1,AZU,Campo Grande,SBCG,519.78,5,2355
2020,1,AZU,Campo Grande,SBCG,546.9,1,2355
2020,1,AZU,Campo Grande,SBCG,554.9,4,2355
2020,1,AZU,Campo Grande,SBCG,558.9,3,2355
2020,1,AZU,Campo Grande,SBCG,575.9,2,2355
2020,1,AZU,Campo Grande,SBCG,577.05,1,2355
2020,1,AZU,Campo Grande,SBCG,591.9,1,2355
2020,1,AZU,Campo Grande,SBCG,600.9,1,2355
2020,1,AZU,Campo Grande,SBCG,603.9,8,2355
2020,1,AZU,Campo Grande,SBCG,628.9,2,2355
2020,1,AZU,Campo Grande,SBCG,640.9,1,2355
2020,1,AZU,Campo Grande,SBCG,669.9,2,2355
2020,1,AZU,Campo Grande,SBCG,741.9,3,2355
2020,1,AZU,Campo Grande,SBCG,887.45,1,2355
2020,1,AZU,Campo Grande,SBCG,911.9,1,2355
2020,1,AZU,Cuiaba,SBCY,1005.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1058.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1067.87,1,2304
2020,1,AZU,Cuiaba,SBCY,1103.76,2,2304
2020,1,AZU,Cuiaba,SBCY,1114.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1167.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1201.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1225.9,3,2304
2020,1,AZU,Cuiaba,SBCY,1242.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1276.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1353.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1428.9,1,2304
2020,1,AZU,Cuiaba,SBCY,1455.9,3,2304
2020,1,AZU,Cuiaba,SBCY,1557.9,3,2304
2020,1,AZU,Cuiaba,SBCY,1632.9,4,2304
2020,1,AZU,Cuiaba,SBCY,2180.0,9,2304
2020,1,AZU,Cuiaba,SBCY,512.9,1,2304
2020,1,AZU,Cuiaba,SBCY,519.9,3,2304
2020,1,AZU,Cuiaba,SBCY,524.9,4,2304
2020,1,AZU,Cuiaba,SBCY,544.9,2,2304
2020,1,AZU,Cuiaba,SBCY,547.95,2,2304
2020,1,AZU,Cuiaba,SBCY,549.9,2,2304
2020,1,AZU,Cuiaba,SBCY,572.2,1,2304
2020,1,AZU,Cuiaba,SBCY,576.9,1,2304
2020,1,AZU,Cuiaba,SBCY,584.9,3,2304
2020,1,AZU,Cuiaba,SBCY,589.9,4,2304
2020,1,AZU,Cuiaba,SBCY,614.9,2,2304
2020,1,AZU,Cuiaba,SBCY,641.9,4,2304
2020,1,AZU,Cuiaba,SBCY,668.58,1,2304
2020,1,AZU,Cuiaba,SBCY,796.27,1,2304
2020,1,AZU,Cuiaba,SBCY,798.9,1,2304
2020,1,AZU,Cuiaba,SBCY,871.9,2,2304
2020,1,AZU,Cuiaba,SBCY,897.9,2,2304
2020,1,AZU,Cuiaba,SBCY,899.55,1,2304
2020,1,AZU,Cuiaba,SBCY,916.9,2,2304
2020,1,AZU,Cuiaba,SBCY,924.9,4,2304
2020,1,AZU,Cuiaba,SBCY,925.9,1,2304
2020,1,AZU,Cuiaba,SBCY,946.9,1,2304
2020,1,AZU,Cuiaba,SBCY,990.9,1,2304
2020,1,AZU,Fortaleza,SBFZ,1029.9,3,731
2020,1,AZU,Fortaleza,SBFZ,1075.9,5,731
2020,1,AZU,Fortaleza,SBFZ,1498.9,1,731
2020,1,AZU,Fortaleza,SBFZ,1573.9,1,731
2020,1,AZU,Fortaleza,SBFZ,1815.9,1,731
