year,month,company,city,destination,price,seats,distance
2021,8,AZU,Aracaju,SBAR,1116.9,1,202
2021,8,AZU,Aracaju,SBAR,1594.9,1,202
2021,8,AZU,Aracaju,SBAR,2190.9,2,202
2021,8,AZU,Aracaju,SBAR,2195.0,5,202
2021,8,AZU,Belem,SBBE,1190.9,2,1682
2021,8,AZU,Belem,SBBE,1409.9,2,1682
2021,8,AZU,Belem,SBBE,1429.65,1,1682
2021,8,AZU,Belem,SBBE,1439.89,1,1682
2021,8,AZU,Belem,SBBE,1439.9,2,1682
2021,8,AZU,Belem,SBBE,1485.89,1,1682
2021,8,AZU,Belem,SBBE,1563.9,1,1682
2021,8,AZU,Belem,SBBE,1628.9,1,1682
2021,8,AZU,Belem,SBBE,1699.88,1,1682
2021,8,AZU,Belem,SBBE,1713.7,5,1682
2021,8,AZU,Belem,SBBE,1796.88,1,1682
2021,8,AZU,Belem,SBBE,1891.9,1,1682
2021,8,AZU,Belem,SBBE,1943.88,1,1682
2021,8,AZU,Belem,SBBE,2038.9,1,1682
2021,8,AZU,Belem,SBBE,2064.9,1,1682
2021,8,AZU,Belem,SBBE,2199.9,1,1682
2021,8,AZU,Belem,SBBE,2294.9,1,1682
2021,8,AZU,Belem,SBBE,511.39,3,1682
2021,8,AZU,Belem,SBBE,511.9,12,1682
2021,8,AZU,Belem,SBBE,532.9,1,1682
2021,8,AZU,Belem,SBBE,561.34,1,1682
2021,8,AZU,Belem,SBBE,561.9,1,1682
2021,8,AZU,Belem,SBBE,562.89,1,1682
2021,8,AZU,Belem,SBBE,562.9,8,1682
2021,8,AZU,Belem,SBBE,574.9,1,1682
2021,8,AZU,Belem,SBBE,599.9,2,1682
2021,8,AZU,Belem,SBBE,614.9,1,1682
2021,8,AZU,Belem,SBBE,618.9,4,1682
2021,8,AZU,Belem,SBBE,631.9,1,1682
2021,8,AZU,Belem,SBBE,640.9,3,1682
2021,8,AZU,Belem,SBBE,652.9,1,1682
2021,8,AZU,Belem,SBBE,657.9,1,1682
2021,8,AZU,Belem,SBBE,669.9,1,1682
2021,8,AZU,Belem,SBBE,680.9,4,1682
2021,8,AZU,Belem,SBBE,694.9,1,1682
2021,8,AZU,Belem,SBBE,713.9,3,1682
