year,month,company,city,destination,price,seats,distance
2019,9,AZU,Aracaju,SBAR,449.9,1,202
2019,9,AZU,Aracaju,SBAR,494.9,1,202
2019,9,AZU,Aracaju,SBAR,495.9,1,202
2019,9,AZU,Aracaju,SBAR,545.9,1,202
2019,9,AZU,Aracaju,SBAR,609.9,1,202
2019,9,AZU,Aracaju,SBAR,610.9,1,202
2019,9,AZU,Aracaju,SBAR,683.9,2,202
2019,9,AZU,Aracaju,SBAR,722.9,1,202
2019,9,AZU,Aracaju,SBAR,787.9,1,202
2019,9,AZU,Aracaju,SBAR,794.9,1,202
2019,9,AZU,Aracaju,SBAR,795.9,1,202
2019,9,AZU,Aracaju,SBAR,859.9,1,202
2019,9,AZU,Aracaju,SBAR,906.9,1,202
2019,9,AZU,Aracaju,SBAR,1052.9,2,202
2019,9,AZU,Aracaju,SBAR,1073.9,2,202
2019,9,AZU,Aracaju,SBAR,1900.0,1,202
2019,9,AZU,Aracaju,SBAR,2184.9,1,202
2019,9,AZU,Belem,SBBE,456.21,1,1682
2019,9,AZU,Belem,SBBE,456.9,1,1682
2019,9,AZU,Belem,SBBE,481.55,1,1682
2019,9,AZU,Belem,SBBE,502.11,1,1682
2019,9,AZU,Belem,SBBE,502.9,5,1682
2019,9,AZU,Belem,SBBE,506.9,11,1682
2019,9,AZU,Belem,SBBE,582.9,1,1682
2019,9,AZU,Belem,SBBE,640.9,2,1682
2019,9,AZU,Belem,SBBE,647.9,1,1682
2019,9,AZU,Belem,SBBE,658.9,1,1682
2019,9,AZU,Belem,SBBE,723.9,1,1682
2019,9,AZU,Belem,SBBE,724.9,7,1682
2019,9,AZU,Belem,SBBE,740.9,1,1682
2019,9,AZU,Belem,SBBE,775.9,5,1682
2019,9,AZU,Belem,SBBE,789.9,3,1682
2019,9,AZU,Belem,SBBE,805.9,2,1682
2019,9,AZU,Belem,SBBE,814.9,6,1682
2019,9,AZU,Belem,SBBE,832.9,2,1682
2019,9,AZU,Belem,SBBE,835.9,1,1682
2019,9,AZU,Belem,SBBE,879.9,1,1682
2019,9,AZU,Belem,SBBE,897.9,4,1682
2019,9,AZU,Belem,SBBE,968.9,3,1682
2019,9,AZU,Belem,SBBE,1065.9,7,1682
2019,9,AZU,Belem,SBBE,1067.9,1,1682
2019,9,AZU,Belem,SBBE,1116.15,1,1682
2019,9,AZU,Belem,SBBE,1130.9,2,1682
2019,9,AZU,Belem,SBBE,1132.9,1,1682
2019,9,AZU,Belem,SBBE,1156.9,1,1682
2019,9,AZU,Belem,SBBE,1177.9,1,1682
