year,month,company,city,destination,price,seats,distance
2019,1,AZU,Aracaju,SBAR,331.45,1,202
2019,1,AZU,Aracaju,SBAR,365.9,2,202
2019,1,AZU,Aracaju,SBAR,412.9,1,202
2019,1,AZU,Aracaju,SBAR,413.9,1,202
2019,1,AZU,Aracaju,SBAR,430.9,5,202
2019,1,AZU,Aracaju,SBAR,438.9,1,202
2019,1,AZU,Aracaju,SBAR,445.9,1,202
2019,1,AZU,Aracaju,SBAR,564.9,3,202
2019,1,AZU,Aracaju,SBAR,629.9,5,202
2019,1,AZU,Aracaju,SBAR,660.9,1,202
2019,1,AZU,Aracaju,SBAR,876.9,2,202
2019,1,AZU,Aracaju,SBAR,951.9,2,202
2019,1,AZU,Aracaju,SBAR,1051.9,2,202
2019,1,AZU,Aracaju,SBAR,1225.9,2,202
2019,1,AZU,Aracaju,SBAR,1397.9,1,202
2019,1,AZU,Belem,SBBE,391.9,7,1682
2019,1,AZU,Belem,SBBE,409.9,7,1682
2019,1,AZU,Belem,SBBE,431.9,1,1682
2019,1,AZU,Belem,SBBE,434.9,3,1682
2019,1,AZU,Belem,SBBE,435.9,3,1682
2019,1,AZU,Belem,SBBE,438.9,1,1682
2019,1,AZU,Belem,SBBE,451.9,2,1682
2019,1,AZU,Belem,SBBE,468.9,2,1682
2019,1,AZU,Belem,SBBE,477.9,5,1682
2019,1,AZU,Belem,SBBE,479.9,5,1682
2019,1,AZU,Belem,SBBE,500.9,2,1682
2019,1,AZU,Belem,SBBE,515.9,1,1682
2019,1,AZU,Belem,SBBE,516.9,1,1682
2019,1,AZU,Belem,SBBE,520.9,4,1682
2019,1,AZU,Belem,SBBE,547.9,1,1682
2019,1,AZU,Belem,SBBE,585.9,4,1682
2019,1,AZU,Belem,SBBE,588.9,1,1682
2019,1,AZU,Belem,SBBE,671.9,5,1682
2019,1,AZU,Belem,SBBE,736.9,2,1682
2019,1,AZU,Belem,SBBE,737.9,1,1682
2019,1,AZU,Belem,SBBE,775.92,1,1682
2019,1,AZU,Belem,SBBE,804.9,3,1682
2019,1,AZU,Belem,SBBE,861.9,5,1682
2019,1,AZU,Belem,SBBE,865.9,2,1682
2019,1,AZU,Belem,SBBE,930.9,1,1682
2019,1,AZU,Belem,SBBE,949.9,1,1682
2019,1,AZU,Belem,SBBE,1014.9,1,1682
2019,1,AZU,Belem,SBBE,1034.9,4,1682
2019,1,AZU,Belem,SBBE,1128.9,2,1682
2019,1,AZU,Belem,SBBE,1329.9,1,1682
2019,1,AZU,Belem,SBBE,1353.9,2,1682
2019,1,AZU,Belem,SBBE,1369.9,9,1682
