year,month,company,city,destination,price,seats,distance
2021,2,AZU,Aracaju,SBAR,1498.9,1,202
2021,2,AZU,Aracaju,SBAR,972.9,1,202
2021,2,AZU,Belem,SBBE,1146.44,1,1682
2021,2,AZU,Belem,SBBE,1235.81,1,1682
2021,2,AZU,Belem,SBBE,1377.9,1,1682
2021,2,AZU,Belem,SBBE,1475.9,1,1682
2021,2,AZU,Belem,SBBE,1490.9,1,1682
2021,2,AZU,Belem,SBBE,1622.9,1,1682
2021,2,AZU,Belem,SBBE,1698.5,1,1682
2021,2,AZU,Belem,SBBE,1718.9,1,1682
2021,2,AZU,Belem,SBBE,2695.0,1,1682
2021,2,AZU,Belem,SBBE,309.9,2,1682
2021,2,AZU,Belem,SBBE,332.9,11,1682
2021,2,AZU,Belem,SBBE,336.9,5,1682
2021,2,AZU,Belem,SBBE,357.9,1,1682
2021,2,AZU,Belem,SBBE,372.77,2,1682
2021,2,AZU,Belem,SBBE,390.02,1,1682
2021,2,AZU,Belem,SBBE,390.9,2,1682
2021,2,AZU,Belem,SBBE,404.9,1,1682
2021,2,AZU,Belem,SBBE,427.9,1,1682
2021,2,AZU,Belem,SBBE,430.9,5,1682
2021,2,AZU,Belem,SBBE,438.9,1,1682
2021,2,AZU,Belem,SBBE,439.17,1,1682
2021,2,AZU,Belem,SBBE,443.9,2,1682
2021,2,AZU,Belem,SBBE,459.9,1,1682
2021,2,AZU,Belem,SBBE,469.9,3,1682
2021,2,AZU,Belem,SBBE,487.9,1,1682
2021,2,AZU,Belem,SBBE,493.9,1,1682
2021,2,AZU,Belem,SBBE,494.9,1,1682
2021,2,AZU,Belem,SBBE,499.9,2,1682
2021,2,AZU,Belem,SBBE,503.94,1,1682
2021,2,AZU,Belem,SBBE,506.9,1,1682
2021,2,AZU,Belem,SBBE,508.15,1,1682
2021,2,AZU,Belem,SBBE,511.9,1,1682
2021,2,AZU,Belem,SBBE,516.9,1,1682
2021,2,AZU,Belem,SBBE,534.9,1,1682
2021,2,AZU,Belem,SBBE,543.9,1,1682
2021,2,AZU,Belem,SBBE,554.9,1,1682
2021,2,AZU,Belem,SBBE,587.9,1,1682
2021,2,AZU,Belem,SBBE,593.9,1,1682
2021,2,AZU,Belem,SBBE,596.9,1,1682
2021,2,AZU,Belem,SBBE,628.64,1,1682
2021,2,AZU,Belem,SBBE,646.9,1,1682
2021,2,AZU,Belem,SBBE,674.9,1,1682
2021,2,AZU,Belem,SBBE,732.9,1,1682
2021,2,AZU,Belem,SBBE,763.37,1,1682
2021,2,AZU,Belem,SBBE,796.36,1,1682
2021,2,AZU,Belem,SBBE,815.9,2,1682
2021,2,AZU,Belem,SBBE,824.82,1,1682
2021,2,AZU,Belem,SBBE,863.9,3,1682
2021,2,AZU,Belem,SBBE,910.9,2,1682
2021,2,AZU,Belem,SBBE,964.08,1,1682
2021,2,AZU,Belem,SBBE,976.79,1,1682
2021,2,AZU,Boa Vista,SBBV,1124.9,1,3092
2021,2,AZU,Boa Vista,SBBV,552.9,1,3092
2021,2,AZU,Boa Vista,SBBV,607.93,1,3092
2021,2,AZU,Boa Vista,SBBV,613.36,2,3092
2021,2,AZU,Boa Vista,SBBV,800.9,1,3092
2021,2,AZU,Boa Vista,SBBV,833.19,1,3092
2021,2,AZU,Campo Grande,SBCG,1000.94,1,2355
2021,2,AZU,Campo Grande,SBCG,1029.01,2,2355
2021,2,AZU,Campo Grande,SBCG,1049.9,1,2355
2021,2,AZU,Campo Grande,SBCG,1188.9,1,2355
2021,2,AZU,Campo Grande,SBCG,1308.9,1,2355
2021,2,AZU,Campo Grande,SBCG,1444.9,2,2355
2021,2,AZU,Campo Grande,SBCG,339.9,2,2355
2021,2,AZU,Campo Grande,SBCG,381.9,2,2355
2021,2,AZU,Campo Grande,SBCG,420.06,2,2355
2021,2,AZU,Campo Grande,SBCG,420.15,1,2355
2021,2,AZU,Campo Grande,SBCG,420.9,3,2355
2021,2,AZU,Campo Grande,SBCG,434.37,2,2355
2021,2,AZU,Campo Grande,SBCG,476.9,3,2355
2021,2,AZU,Campo Grande,SBCG,494.9,4,2355
2021,2,AZU,Campo Grande,SBCG,523.9,1,2355
2021,2,AZU,Campo Grande,SBCG,543.9,2,2355
2021,2,AZU,Campo Grande,SBCG,551.9,2,2355
2021,2,AZU,Campo Grande,SBCG,556.9,1,2355
2021,2,AZU,Campo Grande,SBCG,566.11,1,2355
2021,2,AZU,Campo Grande,SBCG,571.9,1,2355
2021,2,AZU,Campo Grande,SBCG,584.9,2,2355
2021,2,AZU,Campo Grande,SBCG,600.64,2,2355
2021,2,AZU,Campo Grande,SBCG,633.16,1,2355
2021,2,AZU,Campo Grande,SBCG,695.71,1,2355
2021,2,AZU,Campo Grande,SBCG,819.9,1,2355
2021,2,AZU,Campo Grande,SBCG,850.42,1,2355
2021,2,AZU,Campo Grande,SBCG,855.9,1,2355
2021,2,AZU,Campo Grande,SBCG,953.9,2,2355
2021,2,AZU,Campo Grande,SBCG,954.9,3,2355
2021,2,AZU,Cuiaba,SBCY,1005.9,2,2304
2021,2,AZU,Cuiaba,SBCY,1007.1,1,2304
2021,2,AZU,Cuiaba,SBCY,1047.11,1,2304
2021,2,AZU,Cuiaba,SBCY,1064.96,1,2304
2021,2,AZU,Cuiaba,SBCY,1097.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1254.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1260.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1299.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1349.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1507.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1602.9,1,2304
2021,2,AZU,Cuiaba,SBCY,1937.9,1,2304
2021,2,AZU,Cuiaba,SBCY,2184.9,1,2304
2021,2,AZU,Cuiaba,SBCY,255.9,1,2304
2021,2,AZU,Cuiaba,SBCY,257.57,2,2304
2021,2,AZU,Cuiaba,SBCY,271.15,13,2304
2021,2,AZU,Cuiaba,SBCY,271.9,87,2304
