"icao","airport","city","state"
"SBFE","JOÃO DURVAL CARNEIRO","FEIRA DE SANTANA","BA"
"SSPB","PATO BRANCO","PATO BRANCO","PR"
"SBRG","RIO GRANDE","RIO GRANDE","RS"
"SBGU","TANCREDO THOMAS DE FARIA","GUARAPUAVA","PR"
"SSOU","ARIPUANÃ","ARIPUANÃ","MT"
"SBSI","FAZENDA ITAGUASSU","MARACAJU","MS"
"SWSI","PRESIDENTE JOÃO BAPTISTA FIGUEIREDO","SINOPE","MG"
"SBQV","PEDRO OTACÍLIO FIGUEIREDO","VITÓRIA DA CONQUISTA","BA"
"SBAA","CONCEIÇÃO DO ARAGUAIA","CONCEIÇÃO DO ARAGUAIA","PA"
"SBAE","BAURU/AREALVA","BAURU","SP"
"SBAQ","BARTOLOMEU DE GUSMÃO","ARARAQUARA","SP"
"SBAR","SANTA MARIA","ARACAJU","SE"
"SBAT","PILOTO OSVALDO MARQUES DIAS","ALTA FLORESTA","MT"
"SBAU","ARAÇATUBA","ARAÇATUBA","SP"
"SBAX","ROMEU ZEMA","ARAXÁ","MG"
"SBBE","INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO","BELÉM","PA"
"SBBG","COMANDANTE GUSTAVO KRAEMER","BAGÉ","RS"
"SBBH","PAMPULHA - CARLOS DRUMMOND DE ANDRADE","BELO HORIZONTE","MG"
"SBBI","BACACHERI","CURITIBA","PR"
"SBBP","ESTADUAL ARTHUR SIQUEIRA","BRAGANÇA PAULISTA","SP"
"SBBR","PRESIDENTE JUSCELINO KUBITSCHEK","BRASÍLIA","DF"
"SBBU","BAURU","BAURU","SP"
"SBBV","ATLAS BRASIL CANTANHEDE","BOA VISTA","RR"
"SBBW","BARRA DO GARÇAS","BARRA DO GARÇAS","MT"
"SBCA","AEROPORTO REGIONAL DO OESTE - CEL. ADALBERTO MENDES DA SILVA","CASCAVEL","PR"
"SBCB","CABO FRIO","CABO FRIO","RJ"
"SBCD","PREFEITO DR. CARLOS ALBERTO DA COSTA NEVES","CAÇADOR","SC"
"SBCF","TANCREDO NEVES","CONFINS","MG"
"SBCG","CAMPO GRANDE","CAMPO GRANDE","MS"
"SBCH","SERAFIN ENOSS BERTASO","CHAPECÓ","SC"
"SBCI","BRIGADEIRO LYSIAS AUGUSTO RODRIGUES","CAROLINA","MA"
"SBCJ","CARAJÁS","PARAUAPEBAS","PA"
"SSIM","FORQUILHINHA/CRICIÚMA (SBCM*)","FORQUILHINHA","SC"
"SBCN","NELSON RODRIGUES GUIMARÃES","CALDAS NOVAS","GO"
"SBCP","BARTOLOMEU LISANDRO","CAMPOS DOS GOYTACAZES","RJ"
"SBCR","CORUMBÁ","CORUMBÁ","MS"
"SBCT","AFONSO PENA","CURITIBA","PR"
"SBCX","HUGO CANTERGIANI","CAXIAS DO SUL","RS"
"SBCY","MARECHAL RONDON","VÁRZEA GRANDE","MT"
"SSCL","CASSILÂNDIA","CASSILÂNDIA","MS"
"SBDB","BONITO","BONITO","MS"
"SBDN","PRESIDENTE PRUDENTE","PRESIDENTE PRUDENTE","SP"
"SBDO","DOURADOS","DOURADOS","MS"
"SBEG","EDUARDO GOMES","MANAUS","AM"
"SBEK","JACAREACANGA","JACAREACANGA","PA"
"SBFI","CATARATAS","FOZ DO IGUAÇU","PR"
"SBFL","HERCÍLIO LUZ","FLORIANÓPOLIS","SC"
"SBFN","FERNANDO DE NORONHA","FERNANDO DE NORONHA","PE"
"SBFZ","PINTO MARTINS","FORTALEZA","CE"
"SBGL","RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM","RIO DE JANEIRO","RJ"
"SBGM","GUAJARÁ-MIRIM","GUAJARÁ-MIRIM","RO"
"SBGO","SANTA GENOVEVA/GOIÂNIA","GOIÂNIA","GO"
"SBGR","GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO","GUARULHOS","SP"
"SSGG","AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA","GUARAPUAVA","PR"
"SBGV","CORONEL ALTINO MACHADO","GOVERNADOR VALADARES","MG"
"SBGW","GUARATINGUETÁ","GUARATINGUETÁ","SP"
"SBHT","ALTAMIRA","ALTAMIRA","PA"
"SBIC","ITACOATIARA","ITACOATIARA","AM"
"SBIH","ITAITUBA","ITAITUBA","PA"
"SBIL","BAHIA - JORGE AMADO","ILHÉUS","BA"
"SBIP","USIMINAS","SANTANA DO PARAÍSO","MG"
"SBIZ","PREFEITO RENATO MOREIRA","IMPERATRIZ","MA"
"SBJD","COMANDANTE ROLIM ADOLFO AMARO","JUNDIAÍ","SP"
"SBJF","FRANCISCO DE ASSIS","JUIZ DE FORA","MG"
"SBJI","JI-PARANÁ","JI-PARANÁ","RO"
"SBJP","PRESIDENTE CASTRO PINTO","JOÃO PESSOA","PB"
"SBJR","JACAREPAGUÁ - ROBERTO MARINHO","RIO DE JANEIRO","RJ"
"SBJU","ORLANDO BEZERRA DE MENEZES","JUAZEIRO DO NORTE","CE"
"SBJV","LAURO CARNEIRO DE LOYOLA","JOINVILLE","SC"
"SBKG","PRESIDENTE JOÃO SUASSUNA","CAMPINA GRANDE","PB"
"SBKP","VIRACOPOS","CAMPINAS","SP"
"SBLE","HORÁCIO DE MATTOS","LENÇÓIS","BA"
"SBLJ","LAGES","LAGES","SC"
"SBLO","GOVERNADOR JOSÉ RICHA","LONDRINA","PR"
"SBLP","BOM JESUS DA LAPA","BOM JESUS DA LAPA","BA"
"SBMA","JOÃO CORREA DA ROCHA","MARABÁ","PA"
"SBMD","MONTE DOURADO","ALMEIRIM","PA"
"SBME","MACAÉ","MACAÉ","RJ"
"SBMG","SÍLVIO NAME JÚNIOR","MARINGÁ","PR"
"SBMK","MÁRIO RIBEIRO","MONTES CLAROS","MG"
"SBML","FRANK MILOYE MILENKOVICH","MARÍLIA","SP"
"SBMO","ZUMBI DOS PALMARES","MACEIÓ","AL"
"SBMQ","ALBERTO ALCOLUMBRE","MACAPÁ","AP"
"SBMS","DIX-SEPT ROSADO","MOSSORÓ","RN"
"SBMT","CAMPO DE MARTE","SÃO PAULO","SP"
"SBMY","MANICORÉ","MANICORÉ","AM"
"SBNF","MINISTRO VICTOR KONDER","NAVEGANTES","SC"
"SBNM","SANTO ÂNGELO","SANTO ÂNGELO","RS"
"SBOI","OIAPOQUE","OIAPOQUE","AP"
"SBPA","SALGADO FILHO","PORTO ALEGRE","RS"
"SBPB","AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO","PARNAÍBA","PI"
"SBPC","EMBAIXADOR WALTHER MOREIRA SALLES","POÇOS DE CALDAS","MG"
"SBPF","LAURO KURTZ","PASSO FUNDO","RS"
"SBPJ","BRIGADEIRO LYSIAS RODRIGUES","PALMAS","TO"
"SBPK","JOÃO SIMÕES LOPES NETO","PELOTAS","RS"
"SBPL","SENADOR NILO COELHO","PETROLINA","PE"
"SDPE","PORTO NACIONAL","PORTO NACIONAL","TO"
"SBPP","PONTA PORÃ","PONTA PORÃ","MS"
"SBPR","CARLOS PRATES","BELO HORIZONTE","MG"
"SBPS","PORTO SEGURO","PORTO SEGURO","BA"
"SBPV","GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA","PORTO VELHO","RO"
"SBRB","PLÁCIDO DE CASTRO","RIO BRANCO","AC"
"SBRD","RONDONÓPOLIS - MAESTRO MARINHO FRANCO","RONDONÓPOLIS","MT"
"SBRF","GUARARAPES - GILBERTO FREYRE","RECIFE","PE"
"SBRJ","SANTOS DUMONT","RIO DE JANEIRO","RJ"
"SBRP","LEITE LOPES","RIBEIRÃO PRETO","SP"
"SBSG","GOVERNADOR ALUIZIO ALVES","SÃO GONÇALO DO AMARANTE","RN"
"SBSJ","PROFESSOR URBANO ERNESTO STUMPF","SÃO JOSÉ DOS CAMPOS","SP"
"SBSL","MARECHAL CUNHA MACHADO","SÃO LUÍS","MA"
"SBSM","SANTA MARIA","SANTA MARIA","RS"
"SBSN","MAESTRO WILSON FONSECA","SANTARÉM","PA"
"SBSP","CONGONHAS","SÃO PAULO","SP"
"SBSR","PROFESSOR ERIBERTO MANOEL REINO","SÃO JOSÉ DO RIO PRETO","SP"
"SBSV","DEPUTADO LUÍS EDUARDO MAGALHÃES","SALVADOR","BA"
"SBTB","TROMBETAS","ORIXIMINÁ","PA"
"SBTD","LUIZ DALCANALE FILHO","TOLEDO","PR"
"SBTE","SENADOR PETRÔNIO PORTELLA","TERESINA","PI"
"SBTF","PREFEITO ORLANDO MARINHO","TEFÉ","AM"
"SBTG","TRÊS LAGOAS","TRÊS LAGOAS","MS"
"SBTK","TARAUACÁ","TARAUACÁ","AC"
"SSTE","TORRES","TORRES","RS"
"SBTT","TABATINGA","TABATINGA","AM"
"SBTU","TUCURUÍ","TUCURUÍ","PA"
"SBUA","SÃO GABRIEL DA CACHOEIRA","SÃO GABRIEL DA CACHOEIRA","AM"
"SBUF","PAULO AFONSO","PAULO AFONSO","BA"
"SBUG","RUBEM BERTA","URUGUAIANA","RS"
"SBUL","TEN CEL AVIADOR CÉSAR BOMBONATO","UBERLÂNDIA","MG"
"SBUR","MARIO DE ALMEIDA FRANCO","UBERABA","MG"
"SBVG","MAJOR BRIGADEIRO TROMPOWSKY","VARGINHA","MG"
"SBVH","VILHENA","VILHENA","RO"
"SBVT","EURICO DE AGUIAR SALLES","VITÓRIA","ES"
"SBZM","PRESIDENTE ITAMAR FRANCO","GOIANÁ","MG"
"SDAA","ARARAS","ARARAS","SP"
"SDAD","EVERALDO MORAES BARRETO","ADAMANTINA","SP"
"SDAE","SÃO PEDRO","SÃO PEDRO","SP"
"SDAG","ANGRA DOS REIS","ANGRA DOS REIS","RJ"
"SDAI","AMERICANA","AMERICANA","SP"
"SDAM","ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL","CAMPINAS","SP"
"SDBA","BATATAIS","BATATAIS","SP"
"SDBB","BEBEDOURO","BEBEDOURO","SP"
"SDBK","TANCREDO DE ALMEIDA NEVES","BOTUCATU","SP"
"SDBY","BARIRI","BARIRI","SP"
"SDCA","CAPÃO BONITO","CAPÃO BONITO","SP"
"SDCG","SENADORA EUNICE MICHILES","SÃO PAULO DE OLIVENÇA","AM"
"SDCO","SOROCABA","SOROCABA","SP"
"SDDN","PAULINO RIBEIRO DE ANDRADE","ANDRADINA","SP"
"SDDR","DRACENA","DRACENA","SP"
"SDEP","GERALDO MOACIR BORDON","PRESIDENTE EPITÁCIO","SP"
"SDET","TIETÊ","TIETÊ","SP"
"SDFD","CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES","FERNANDÓPOLIS","SP"
"SDFX","CASA NOVA","CASA NOVA","BA"
"SDGC","GARÇA","GARÇA","SP"
"SDIG","IBITINGA","IBITINGA","SP"
"SDIM","DR. ANTONIO RIBEIRO NOGUEIRA JÚNIOR","ITANHAÉM","SP"
"SDIV","ITUVERAVA","ITUVERAVA","SP"
"SDJC","JABOTICABAL","JABOTICABAL","SP"
"SDJO","SÃO JOAQUIM DA BARRA","SÃO JOAQUIM DA BARRA","SP"
"SDJV","MUNICIPAL DE SÃO JOÃO DA BOA VISTA","SÃO JOÃO DA BOA VISTA","SP"
"SDKJ","FORMOSA DO RIO PRETO","FORMOSA DO RIO PRETO","BA"
"SDKK","MOCOCA","MOCOCA","SP"
