ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2020;4;AZU;SBAE;SBAT;418,90;1
2020;4;AZU;SBAE;SBAT;1191,90;2
2020;4;AZU;SBAE;SBBE;285,90;1
2020;4;AZU;SBAE;SBBE;311,90;1
2020;4;AZU;SBAE;SBBR;176,90;3
2020;4;AZU;SBAE;SBBR;195,90;2
2020;4;AZU;SBAE;SBBR;443,90;2
2020;4;AZU;SBAE;SBCF;133,90;1
2020;4;AZU;SBAE;SBCF;179,90;1
2020;4;AZU;SBAE;SBCT;152,90;1
2020;4;AZU;SBAE;SBCT;179,90;1
2020;4;AZU;SBAE;SBCT;188,90;2
2020;4;AZU;SBAE;SBCY;328,90;2
2020;4;AZU;SBAE;SBDO;449,90;1
2020;4;AZU;SBAE;SBEG;197,90;1
2020;4;AZU;SBAE;SBEG;247,90;2
2020;4;AZU;SBAE;SBEG;454,90;1
2020;4;AZU;SBAE;SBFL;159,90;1
2020;4;AZU;SBAE;SBFL;213,90;1
2020;4;AZU;SBAE;SBFL;233,90;2
2020;4;AZU;SBAE;SBFL;244,90;1
2020;4;AZU;SBAE;SBGL;371,90;2
2020;4;AZU;SBAE;SBGO;197,90;1
2020;4;AZU;SBAE;SBJU;416,90;1
2020;4;AZU;SBAE;SBKP;319,90;1
2020;4;AZU;SBAE;SBMQ;446,80;1
2020;4;AZU;SBAE;SBPA;302,90;1
2020;4;AZU;SBAE;SBPV;727,90;1
2020;4;AZU;SBAE;SBRJ;295,90;1
2020;4;AZU;SBAE;SBRJ;320,90;1
2020;4;AZU;SBAE;SBRJ;376,90;2
2020;4;AZU;SBAE;SBSV;394,90;1
2020;4;AZU;SBAE;SBTE;335,90;1
2020;4;AZU;SBAE;SBVT;187,90;1
2020;4;AZU;SBAQ;SBAR;649,90;2
2020;4;AZU;SBAQ;SBCG;143,90;1
2020;4;AZU;SBAQ;SBFZ;303,90;2
2020;4;AZU;SBAQ;SBMO;251,90;1
2020;4;AZU;SBAQ;SBSN;392,90;2
2020;4;AZU;SBAR;SBAQ;619,90;2
2020;4;AZU;SBAR;SBAU;636,90;1
2020;4;AZU;SBAR;SBBE;283,00;1
2020;4;AZU;SBAR;SBBE;298,90;1
2020;4;AZU;SBAR;SBBE;313,90;1
2020;4;AZU;SBAR;SBBE;338,90;2
2020;4;AZU;SBAR;SBBR;189,90;2
2020;4;AZU;SBAR;SBBR;263,90;1
2020;4;AZU;SBAR;SBCA;426,90;2
2020;4;AZU;SBAR;SBCF;143,90;1
2020;4;AZU;SBAR;SBCF;149,44;1
2020;4;AZU;SBAR;SBCF;151,90;4
2020;4;AZU;SBAR;SBCF;152,90;1
2020;4;AZU;SBAR;SBCF;167,90;2
2020;4;AZU;SBAR;SBCF;177,90;10
2020;4;AZU;SBAR;SBCF;179,90;1
