Ano de Referência;Mês de Referência;ICAO Empresa Aérea;ICAO Aeródromo Origem;ICAO Aeródromo Destino;Tarifa-N;Assentos Comercializados
2020;5;AZU;SBAC;SBGR;287,9;1
2020;5;AZU;SBAE;SBAT;455,9;3
2020;5;AZU;SBAE;SBBE;271,9;2
2020;5;AZU;SBAE;SBBE;298,9;3
2020;5;AZU;SBAE;SBBE;351,9;4
2020;5;AZU;SBAE;SBBE;431,9;1
2020;5;AZU;SBAE;SBBR;150,9;3
2020;5;AZU;SBAE;SBBR;200,9;1
2020;5;AZU;SBAE;SBBR;295,9;1
2020;5;AZU;SBAE;SBBR;297,9;15
2020;5;AZU;SBAE;SBBR;341,9;1
2020;5;AZU;SBAE;SBBR;669,9;1
2020;5;AZU;SBAE;SBBR;875,9;1
2020;5;AZU;SBAE;SBCF;134,9;1
2020;5;AZU;SBAE;SBCF;188,9;1
2020;5;AZU;SBAE;SBCF;245,9;9
2020;5;AZU;SBAE;SBCF;347,9;2
2020;5;AZU;SBAE;SBCF;543,9;1
2020;5;AZU;SBAE;SBCG;376,9;1
2020;5;AZU;SBAE;SBCG;418,9;2
2020;5;AZU;SBAE;SBCH;355,9;1
2020;5;AZU;SBAE;SBCH;426,9;1
2020;5;AZU;SBAE;SBCH;474,9;1
2020;5;AZU;SBAE;SBCH;569,9;1
2020;5;AZU;SBAE;SBCT;179,9;2
2020;5;AZU;SBAE;SBCT;190,9;7
2020;5;AZU;SBAE;SBCT;238,9;2
2020;5;AZU;SBAE;SBCT;399,9;1
2020;5;AZU;SBAE;SBCT;736,9;1
2020;5;AZU;SBAE;SBCT;949,9;1
2020;5;AZU;SBAE;SBCY;210,9;1
2020;5;AZU;SBAE;SBCY;281,9;2
2020;5;AZU;SBAE;SBCY;370,9;11
2020;5;AZU;SBAE;SBEG;311,9;2
2020;5;AZU;SBAE;SBEG;315,9;1
2020;5;AZU;SBAE;SBEG;331,9;1
2020;5;AZU;SBAE;SBEG;410,9;2
2020;5;AZU;SBAE;SBEG;524,9;2
2020;5;AZU;SBAE;SBEG;736,9;1
2020;5;AZU;SBAE;SBEG;807,9;2
2020;5;AZU;SBAE;SBFL;135,9;4
2020;5;AZU;SBAE;SBFL;159,9;2
2020;5;AZU;SBAE;SBFL;181,9;3
2020;5;AZU;SBAE;SBFL;213,9;13
2020;5;AZU;SBAE;SBFL;256,9;3
2020;5;AZU;SBAE;SBFL;308,9;1
2020;5;AZU;SBAE;SBFL;428,9;1
2020;5;AZU;SBAE;SBFZ;192,9;3
2020;5;AZU;SBAE;SBFZ;256,9;3
2020;5;AZU;SBAE;SBFZ;269,9;1
2020;5;AZU;SBAE;SBFZ;287,9;1
2020;5;AZU;SBAE;SBFZ;303,9;2
2020;5;AZU;SBAE;SBFZ;350,9;9
2020;5;AZU;SBAE;SBFZ;398,9;2
2020;5;AZU;SBAE;SBFZ;427,9;1
2020;5;AZU;SBAE;SBGL;266,9;1
2020;5;AZU;SBAE;SBGO;304,9;1
2020;5;AZU;SBAE;SBGO;406,9;1
2020;5;AZU;SBAE;SBGO;487,9;2
2020;5;AZU;SBAE;SBHT;285,9;1
2020;5;AZU;SBAE;SBJU;379,9;1
2020;5;AZU;SBAE;SBJU;391,9;1
2020;5;AZU;SBAE;SBJU;433,9;3
2020;5;AZU;SBAE;SBJU;486,9;1
2020;5;AZU;SBAE;SBJU;487,9;1
2020;5;AZU;SBAE;SBKP;106,9;1
2020;5;AZU;SBAE;SBKP;111,9;1
2020;5;AZU;SBAE;SBKP;119,9;2
2020;5;AZU;SBAE;SBKP;219,9;1
2020;5;AZU;SBAE;SBKP;304,9;1
2020;5;AZU;SBAE;SBKP;408,9;1
2020;5;AZU;SBAE;SBMA;663,9;1
2020;5;AZU;SBAE;SBMA;677,9;1
2020;5;AZU;SBAE;SBMK;393,9;1
2020;5;AZU;SBAE;SBMK;630,9;1
2020;5;AZU;SBAE;SBMO;445,9;1
2020;5;AZU;SBAE;SBNF;263,9;1
2020;5;AZU;SBAE;SBNF;313,9;1
2020;5;AZU;SBAE;SBNF;318,9;2
2020;5;AZU;SBAE;SBNF;335,9;1
2020;5;AZU;SBAE;SBNF;358,9;1
2020;5;AZU;SBAE;SBNF;397,9;1
2020;5;AZU;SBAE;SBNF;412,9;1
2020;5;AZU;SBAE;SBNF;430,9;1
2020;5;AZU;SBAE;SBNF;492,9;3
2020;5;AZU;SBAE;SBPA;1594;1
2020;5;AZU;SBAE;SBPA;165,9;2
2020;5;AZU;SBAE;SBPA;221,9;4
